id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1383570494947938306,1383570494947938306,2021-04-18 06:58:06 SE Asia Standard Time,2021-04-18,06:58:06,+0700,1052339653,siregar_lily,OMMI💚,,"Istri Gubernur Jawa Barat Ridwan Kamil, Atalia Praratya terkonfirmasi positif COVID-19. Atalia diketahui sudah mendapat vaksinasi dua kali. ( ohhh...vaksin...😱)  https://t.co/mXqHHMW2AN",in,[],['https://news.detik.com/berita-jawa-barat/d-5536341/positif-covid-19-atalia-praratya-istri-ridwan-kamil-telah-divaksinasi-2-kali'],[],12,3,32,[],[],https://twitter.com/siregar_lily/status/1383570494947938306,False,,0,,,,,,,,[],,,,
1383570421803405312,1383570421803405312,2021-04-18 06:57:48 SE Asia Standard Time,2021-04-18,06:57:48,+0700,2869832432,amalmedianews,AMALmedia News,,Vaksin COVID-19: Anwar Ibrahim terus tekan kerajaan  https://t.co/EorHgyR2Hh,in,[],['http://amalmedia.co/2021/04/18/vaksin-covid-19-anwar-ibrahim-terus-tekan-kerajaan/'],[],0,0,0,[],[],https://twitter.com/amalmedianews/status/1383570421803405312,False,,0,,,,,,,,[],,,,
1383570379004727297,1383570379004727297,2021-04-18 06:57:38 SE Asia Standard Time,2021-04-18,06:57:38,+0700,2869832432,amalmedianews,AMALmedia News,,COVID-19: Thailand dalam proses tambah pemerolehan vaksin  https://t.co/OVXHQCXyZi,in,[],['http://amalmedia.co/2021/04/18/covid-19-thailand-dalam-proses-tambah-pemerolehan-vaksin/'],[],0,0,0,[],[],https://twitter.com/amalmedianews/status/1383570379004727297,False,,0,,,,,,,,[],,,,
1383569371121930247,1383569371121930247,2021-04-18 06:53:38 SE Asia Standard Time,2021-04-18,06:53:38,+0700,1007014529253773312,dwich7,Dwi cholifah,,Alhamdulillah vaksin covid 19 yg ke dua. Sdh selwsai  https://t.co/EHCdMSTsCP,in,[],[],['https://pbs.twimg.com/media/EzNtATcVUAEyNfE.jpg'],0,0,1,[],[],https://twitter.com/Dwich7/status/1383569371121930247,False,,1,https://pbs.twimg.com/media/EzNtATcVUAEyNfE.jpg,,,,,,,[],,,,
1383566087694913538,1383566087694913538,2021-04-18 06:40:35 SE Asia Standard Time,2021-04-18,06:40:35,+0700,2731106769,nusantaradaily,The Nusantara Daily,,COVID-19: Thailand dalam proses tambah pemerolehan vaksin  https://t.co/jjMDC18FxU  https://t.co/49F0L0hGZK,in,[],['http://dlvr.it/RxttTQ'],['https://pbs.twimg.com/media/EzNqBlsVgAUGRZx.jpg'],0,3,0,[],[],https://twitter.com/nusantaradaily/status/1383566087694913538,False,,1,https://pbs.twimg.com/media/EzNqBlsVgAUGRZx.jpg,,,,,,,[],,,,
1383562651100270594,1383396589176115201,2021-04-18 06:26:56 SE Asia Standard Time,2021-04-18,06:26:56,+0700,2563656799,ceje71,CJ,,"@p4piKRiS @DavidPaulusplus @detikcom Sebagian ilmuan sudah mengklaim covid 19 akan menjd endemik akan selamanya ada bersama populasi jadi siapin duit ente yg bnyak buat beli vaksin krn pemerintah ga munkin kasih vaksin gratis terus menerus, sementara vaknus hanya perlu 1 dosis utk seumur hidup ente.",in,[],[],[],0,0,1,[],[],https://twitter.com/CeJe71/status/1383562651100270594,False,,0,,,,,,,,"[{'screen_name': 'p4piKRiS', 'name': 'kr1sd', 'id': '217376888'}, {'screen_name': 'DavidPaulusplus', 'name': 'David Paulus', 'id': '1286114014867492864'}, {'screen_name': 'detikcom', 'name': 'detikcom', 'id': '69183155'}]",,,,
1383562574604603396,1383562574604603396,2021-04-18 06:26:37 SE Asia Standard Time,2021-04-18,06:26:37,+0700,1069166430250196992,beritakinib,BeritaKini.biz,,"Tahap dua rancangan imunisasi nasional bermula 19 April -  https://t.co/SHiL8iwSVn PETALING JAYA: Tahap dua Program Imunisasi Covid-19 Nasional akan dimulakan esok, dengan vaksin dija  https://t.co/23ZcM433R4",in,[],['https://tinyurl.com/ydvq9thf'],['https://pbs.twimg.com/media/EzNm1EhUcAkMh1M.jpg'],0,0,0,[],[],https://twitter.com/BeritakiniB/status/1383562574604603396,False,,1,https://pbs.twimg.com/media/EzNm1EhUcAkMh1M.jpg,,,,,,,[],,,,
1383561797488189444,1383561797488189444,2021-04-18 06:23:32 SE Asia Standard Time,2021-04-18,06:23:32,+0700,1132521915048837120,cmslbn,Jabatan Penerangan WP Labuan,,"Program IOW JaPen Labuan - Kaunter pendaftaran vaksin COVID-19 dan edaran bahan penerbitan Bazar Ramadan, Medan Selera Labuan.  Turut diadakan penyerahan apron dan pelitup muka sumbangan Pengerusi Perbadanan Labuan, YBhg. Dato Sri Amir Hussien kepada para peniaga bazar Ramadan.  https://t.co/NrYv8yKB5F",in,[],[],"['https://pbs.twimg.com/media/EzNmHDHUUAc_ibT.jpg', 'https://pbs.twimg.com/media/EzNmHQVVIAM0oC7.jpg', 'https://pbs.twimg.com/media/EzNmHfvUcAgDiCd.jpg', 'https://pbs.twimg.com/media/EzNmHzUUcAIxndF.jpg']",0,2,2,[],[],https://twitter.com/cmslbn/status/1383561797488189444,False,,1,https://pbs.twimg.com/media/EzNmHDHUUAc_ibT.jpg,,,,,,,[],,,,
1383561146934849544,1383561146934849544,2021-04-18 06:20:57 SE Asia Standard Time,2021-04-18,06:20:57,+0700,104446991,detikhealth,detikHealth,,"Olahraga dan vaksin COVID-19 punya tujuan yang sama, sama-sama ikhtiar untuk menjaga kesehatan. Habis vaksin boleh olahraga, atau ada pantangan tertentu?  https://t.co/zItpOUwcc6",in,[],['https://health.detik.com/kebugaran/d-5536599/habis-vaksin-boleh-olahraga-ini-4-hal-yang-harus-dipertimbangkan?utm_term=echoboxauto&utm_campaign=detikcomsocmed&utm_medium=oa&utm_content=detikhealth&utm_source=Twitter#Echobox=1618697927'],[],0,1,1,[],[],https://twitter.com/detikHealth/status/1383561146934849544,False,,0,,,,,,,,[],,,,
1383559115809591298,1383559115809591298,2021-04-18 06:12:53 SE Asia Standard Time,2021-04-18,06:12:53,+0700,1376574265382686725,monitorindones4,monitorindonesiacom,,Inisiator Vaksin Nusantara Ajak Semua Pihak Bantu Pemerintah Atasi Covid-19  https://t.co/1yEliJQjxV,in,[],[],['https://pbs.twimg.com/media/EzNjr0VVUAMZGMr.jpg'],0,0,0,[],[],https://twitter.com/monitorindones4/status/1383559115809591298,False,,1,https://pbs.twimg.com/media/EzNjr0VVUAMZGMr.jpg,,,,,,,[],,,,
